title:Meditation, start timestamp:1583521498.648371, stop timestamp:1583521564.628264, headset type:INSIGHT, headset serial:A1D2068CFA, headset firmware:930, subject name:Corey, channels:31, sampling rate:eeg_128;mot_64, samples:8464      , version:2.0
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.T7,EEG.Pz,EEG.T8,EEG.AF4,EEG.RawCq,EEG.Battery,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.T7,CQ.Pz,CQ.T8,CQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1583521502.148841,28.000000,0.000000,4362.051270,4285.128418,4136.922852,4042.564209,4172.820313,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,14.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.156737,29.000000,0.000000,4331.794922,4274.871582,4125.128418,4046.666748,4153.333496,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.164635,30.000000,0.000000,4328.205078,4281.025879,4126.666504,4048.205078,4147.179688,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,15.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.172531,31.000000,0.000000,4342.051270,4283.077148,4114.871582,4042.564209,4148.205078,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.180228,32.000000,0.000000,4353.333496,4276.922852,4106.153809,4054.358887,4155.384766,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,16.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.187923,33.000000,0.000000,4367.692383,4276.922852,4117.436035,4050.769287,4164.615234,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.195619,34.000000,0.000000,4375.384766,4289.230957,4149.743652,4046.153809,4157.436035,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,17.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.203315,35.000000,0.000000,4380.512695,4303.589844,4173.333496,4044.615479,4149.230957,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
1583521502.211012,36.000000,0.000000,4373.333496,4297.436035,4173.846191,4045.641113,4143.077148,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,18.000000,0.000000,0.654574,0.140625,0.687500,0.281250,0.843763,-0.531258,-0.031250,-76.563667,-76.563667,38.281834
1583521502.218908,37.000000,0.000000,4366.153809,4297.436035,4177.436035,4045.128174,4138.974121,0.000000,4.000000,,,,0.000000,4.000000,4.000000,4.000000,2.000000,4.000000,,,,,,,,,,,,
